"","pool","code","country","marst","relinc","sex","age","parent","employ","homemaker","degree","hswrk","respmom","famlife","index"
"1","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",35,"Parent","Fulltime","Homemaker","Lower secondary",8,"No",6,0.38
"2","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",24,"Parent","Unemployed","Homemaker","Primary school",2,"Yes, she worked for pay",6,0.38
"3","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",53,"Nonparent","Not in labor force","Homemaker","No formal education",3,"No",7,0.38
"4","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",39,"Parent","Fulltime","Homemaker","Primary school",3,"No",6,0.38
"5","Keep All $ Separate","AR","Argentina","Married","Man primary-earner","Male",29,"Parent","Fulltime","Homemaker","Upper secondary",4,"Yes, she worked for pay",5,0.38
"6","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",31,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",6,0.38
"7","Keep Some $ Separate","AR","Argentina","Married","Woman primary-earner","Female",54,"Nonparent","Fulltime","Homemaker","Lower level tertiary",1,"No",6,0.38
"8","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",32,"Parent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",7,0.38
"9","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",27,"Parent","Not in labor force","Other","Lower secondary",2,"Yes, she worked for pay",6,0.38
"10","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",41,"Parent","Fulltime","Homemaker","Upper secondary",5,"Yes, she worked for pay",7,0.38
"11","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",50,"Nonparent","Not in labor force","Homemaker","No formal education",2,"No",6,0.38
"12","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",26,"Parent","Not in labor force","Homemaker","Upper secondary",2,"Yes, she worked for pay",6,0.38
"13","Manage $ Together","AR","Argentina","Married","Equal-earners","Female",36,"Nonparent","Fulltime","Other","Lower secondary",2,"No",6,0.38
"14","Manage $ Together","AR","Argentina","Married","Man primary-earner","Female",43,"Nonparent","Parttime","Homemaker","Lower level tertiary",3,"No",6,0.38
"15","Keep Some $ Separate","AR","Argentina","Married","Man primary-earner","Female",51,"Parent","Fulltime","Homemaker","Primary school",2,"Yes, she worked for pay",6,0.38
"16","Keep Some $ Separate","AR","Argentina","Married","Man primary-earner","Female",33,"Parent","Parttime","Homemaker","Primary school",3,"No",7,0.38
"17","One $ Manager","AR","Argentina","Married","Man primary-earner","Female",24,"Parent","Student","Homemaker","Upper secondary",3,"No",6,0.38
"18","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",39,"Parent","Fulltime","Homemaker","Primary school",3,"No",7,0.38
"19","One $ Manager","AR","Argentina","Married","Man primary-earner","Male",34,"Parent","Fulltime","Homemaker","Primary school",3,"No",6,0.38
"20","Manage $ Together","AR","Argentina","Married","Man primary-earner","Male",35,"Parent","Parttime","Homemaker","Lower secondary",3,"No",7,0.38
